ব্যাকরণবিধি	Byakoronbidhi
স্টান্সে	stance a
শ্রীজিত	Srijit
ধন্যবান	dhonnoban
অলিপাব	olypub
লেগবাই	legbai
থোরাক্স	thorax
ওয়েবসাইটের	Website er
তনুজা	Tanuja
লিটেরারি	literary
শক্তির	Soktir
ভদ্রেশ্বরের	Bhadreswarer
শমীককেই	Shomikkei
৩২জিবির	32GBr
বিশ্বজয়ের	Bishyojoyer
সম্প্রসারণের	somprosaroner
শয্যাসঙ্গিনী	sojyasangini
নববর্ষের	noboborsher
সার্বিয়ায়	serbiaay
সিসিআই	CCI
তাঁকে৷	tnaake
সুইসোতেল	suisotel
জোশের	Josher
দলগুলি	Dolguli
টানার	Tanar
গার্ডেনরিচের	gardenricher
কমলালেবু	Komolalebu
আরবাজ	Aarbaaj
KD	KD
সংক্রমণও	sankraman
ঘেঁসে	ghnese
কমান্ডহীন	commandhin
বয়ানেও	Boyaneo
পিকেটিংও	picketingo
আনবাড়ি	Anbari
বিশ্বক্লাব	Bishwa Club
নৈরাজ্যের	noirajjer
ইনকা	inca
বাড়াটে	Barate
সেইটিই	sheiti-e
শরীরচর্চার	sorirchorchar
মালাই	cream
হাবেও	Hubeo
অফিসারকে	Officerke
বছরছয়েক	bocchorchhoyek
আড়াইশোতম	Araishotomo
মাহির	mahir
স্পষ্টভাষায়	Sposhtobhashay
বিধির	Bidhir
সাবরমতীর	Sabarmatir
অবিলম্বেই	obilombei
কোন্তা	konta
অলিম্পিকেও	Olimpikeo
মতবাদকে	Modbadak
পরদল	porodol
পরদল	pordol
ফলায়	Shohaay
চুমুকে	Chumuke
পর্বতারোহণও	porbotarohono
নীলাংশি	nilangshi
ছবিটাকে	Chobitake
সনাতনই	sonatonee
আলাদা	alada
আলাদা	alada
গ্রাফটা	Graphta
প্রতিবাদটি	protibadti
লোডশেডিং	loadshedding
শিল্পবিরোধী	Shilpobirodhi
রেড্ডিকে	Reddyke
বৃষ্টির	brishtir
গুরুজনদের	gurujonder
তলদেশে	Tolodesh
পুনরুদ্ধারের	punorudharer
কম্পিটিটিভ	Competitive
বাইকগুলির	Bikegulir
অবতারণা	obotarona
ব্যাপক	Byapok
ওয়াটারের	waterer
নামঘরে	Namghore
নামঘরে	Namghore
মেয়াদকে	meyadke
কোলে	Kole
পেন্টিং	penting
পেনকা	penka
লোকসভার	loksabhar
ক্রসভোটিং	crossvoting
ইমপ্রুভমেন্ট	Improvement
চলত	Cholto
শ্রীবই	Shreeboi
লড়াই—	lorai
যানজটও	zanjoT
প্রতিবারের	protibarer
প্রতিবারের	Protibarer
অর্ণবের	arnober
আখতার	akhtar
২৬০০	2600
পুড়িয়েছিলেন	Puriyechilen
